"hip";"lat";"lon";"hr";"hd";"name";"almagest_number"
21881;-0.25;45.67;1497;29763;"94Tau Tau";399
25428;5;55.67;1791;35497;"112Bet Tau";400
20711;0.5;42;1392;28024;"69Ups Tau";401
20635;0.25;41.67;1387;27934;"65Kap1Tau";402
19038;0.67;37;1256;25604;"37 Tau";403
19990;-1;39;1329;27045;"50Ome2Tau";404
19513;5;38.5;1287;26322;"44 Tau";405
19205;7.33;38;1269;25867;"42Psi Tau";406
20430;3;42;1369;27638;"59Chi Tau";407
20250;5;41.67;1348;27382;"52Phi Tau";408
17489;4.5;32.17;1140;23288;"16 Tau";409
17499;3.67;32.5;1142;23302;"17 Tau";410
17702;3.33;33.67;1165;278994;"25Eta Tau";411
17954;5;33.67;1188;23985;;412
16852;-17.5;25;1101;22484;"10 Tau";413
23497;-2;50;1620;32301;"102Iot Tau";414
24822;-1.75;54;1739;34559;"109 Tau";415
25539;-2;56;1810;35708;"114 Tau";416
27338;-6.33;59;1990;38558;"130 Tau";417
27265;-7.67;59;1985;38478;"129 Tau";418
25695;0.67;57;1821;35943;"118 Tau";419
26640;1;59;1928;37438;"125 Tau";420
27468;1.33;61;2002;38751;"132 Tau";421
27830;3.33;62.33;2034;39357;"136 Tau";422
28237;1.25;63.33;2084;40111;"139 Tau";423
36850;9.5;83.33;2891;60179;"66Alp Gem";424
37826;6.25;86.67;2990;62509;"78Bet Gem";425
33018;10;76.67;2540;45995;"34The Gem";426
34693;7.33;78.67;2697;54719;"46Tau Gem";427
36046;5.5;82;2821;58207;"60Iot Gem";428
36962;4.83;84;2905;60522;"69Ups Gem";429
37740;2.67;86.67;2985;62345;"77Kap Gem";430
35846;2.67;81.67;2808;58029;"57 Gem";431
36238;0.33;83.17;2846;58728;"63 Gem";432
32246;1.5;73;2473;48329;"27Eps Gem";433
34088;-2.5;78.25;2650;52973;"43Zet Gem";434
35350;-6;81.67;2763;56537;"54Lam Gem";436
29655;-1.5;66.5;2216;42995;"7Eta Gem";437
30343;-1.25;68.5;2286;44478;"13Mu Gem";438
30883;-3.5;70.17;2343;45542;"18Nu Gem";439
31681;-7.5;72;2421;47105;"24Gam Gem";440
32362;-10.5;74.67;2484;48737;"31Xi Gem";441
28734;-0.67;64.17;2134;41116;"1 Gem";442
29696;5.83;66.5;2219;43039;"44Kap Aur";443
32921;-2.25;75.17;2529;49908;"36 Gem";444
38722;-1.33;88.33;3086;64648;"85 Gem";445
37908;-3.33;86.33;3003;62721;"81 Gem";446
37300;-4.5;86;2938;61338;"74 Gem";447
40167;-2.67;90.67;3210;68255;"16Zet1Cnc";448
41909;1.25;97.67;3366;72292;"33Eta Cnc";450
41822;-1.17;98;3357;72094;"31The Cnc";451
42806;2.67;100.33;3449;74198;"43Gam Cnc";452
42911;-0.17;101.33;3461;74442;"47Del Cnc";453
44066;-5.5;106.5;3572;76756;"65Alp Cnc";454
43100;11.83;98.33;3474;74738;"48Iot Cnc";455
39780;1;92.67;3176;67228;"10Mu 2Cnc";456
40526;-7.5;97.17;3249;69267;"17Bet Cnc";457
45410;-2.33;109.67;3669;79554;"82Pi 2Cnc";458
44798;-5.67;111.17;3623;78316;"76Kap Cnc";459
44405;7.25;104;3595;77350;"69Nu Cnc";460
44946;4.83;107;3627;78515;"77Xi Cnc";461
46146;10;108.33;3731;81146;"1Kap Leo";462
46750;7.5;111.17;3773;82308;"4Lam Leo";463
48455;12;114.33;3905;85503;"24Mu Leo";464
47908;9.5;114.17;3873;84441;"17Eps Leo";465
50335;11;120.17;4031;89025;"36Zet Leo";466
50583;8.5;122.17;4057;89484;"41Gam1Leo";467
49583;4.5;120.67;3975;87737;"30Eta Leo";468
49669;0.17;122.5;3982;87901;"32Alp Leo";469
49637;-1.83;123.5;3980;87837;"31 Leo";470
48883;-0.25;120;3937;86360;"27Nu Leo";471
47723;0;117.33;3866;84194;"16Psi Leo";472
46771;-3.67;114.17;3782;82395;"5Xi Leo";473
47508;-4.17;117.33;3852;83808;"14Omi Leo";474
49029;-4.25;122.5;3950;86663;"29Pi Leo";475
51624;-0.17;129.17;4133;91316;"47Rho Leo";476
